Tagname;Timestamp;Value;Quality
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:06;17,66536903;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:06;14,33279896;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:06;10,998703;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:06;7,66613245;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:06;4,332036495;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:06;0,999465942;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:06;2,165255308;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:06;5,499351501;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:06;8,831921577;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:06;12,16601849;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:06;15,49858856;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:06;18,83268547;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:06;22,16525459;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:06;25,4993515;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:06;28,83192253;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:06;32,16601944;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:06;35,49858856;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:06;38,83268356;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:06;42,1652565;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:06;45,4993515;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:06;48,83192062;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:06;52,16601944;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:06;55,49858856;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:06;58,83268356;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:06;62,1652565;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:06;65,4993515;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:06;68,83192444;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:06;72,16601563;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:06;75,49858856;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:06;78,83268738;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:06;82,16525269;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:06;85,4993515;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:06;88,83192444;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:06;92,16601563;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:06;95,49858856;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:06;98,83268738;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:06;97,99954224;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:06;94,66544342;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:06;91,33287811;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:06;87,9987793;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:06;84,66620636;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:06;81,33211517;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:06;77,99954224;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:06;74,66544342;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:07;71,33287811;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:07;67,9987793;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:07;64,66620636;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:07;61,33211136;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:07;57,99954224;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:07;54,66544724;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:07;51,3328743;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:07;47,9987793;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:07;44,66621017;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:07;41,33211136;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:07;38,16586685;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:07;34,83329391;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:07;31,49919891;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:07;28,16662788;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:07;24,83253288;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:07;21,49996185;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:07;18,16586494;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:07;14,83329487;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:07;11,49919891;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:07;8,166628838;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:07;4,832532406;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:07;1,499961853;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:07;1,666285157;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:07;4,998855591;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:07;8,332951546;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:07;11,66552258;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:07;14,99961853;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:07;18,33218956;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:07;21,66628456;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:07;24,99885559;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:07;28,3329525;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:07;31,66552162;Good
